,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
7,Difunde a cultura e métodos de ideação e inovação,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'CENPE', 'CENPE', 'INOVA', 'INOVA']",INOVA,16
8,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,['IEP'],INOVA,1
9,Difunde inovação e boas práticas sobre administração pública,"['CADG', 'CADG', 'GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",INOVA,10
10,Difunde os métodos de pesquisa científica e uso de evidências ,"['IEP', 'INOVA']",INOVA,2
11,Dissemina conhecimento,"['CADG', 'IEP', 'INOVA']",INOVA,3
12,Elabora diagnósticos de órgãos do Ministério Público,"['GATE', 'IEP']",INOVA,2
13,Estimula a criação de rede de atores internos e externos,"['CADG', 'CENPE', 'STIC', 'CSI', 'IEP', 'CENPE', 'INOVA', 'INOVA']",INOVA,8
14,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['CADG', 'STIC', 'IEP', 'INOVA', 'INOVA']",INOVA,5
15,Faz experimentos,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'CENPE', 'CENPE', 'INOVA', 'INOVA']",INOVA,16
16,Fomenta a inclusão social,"['CENPE', 'CENPE']",INOVA,2
17,Fomenta a transparência,"['CENPE', 'CENPE']",INOVA,2
18,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,"['CADG', 'CENPE', 'CENPE', 'STIC', 'IEP', 'CENPE', 'CENPE']",INOVA,7
19,Fomenta inovação,['CADG'],INOVA,1
20,"Fomenta inovação, transparência, inclusão e participação na gestão pública","['CADG', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'CENPE', 'INOVA', 'INOVA']",INOVA,12
21,Identifica problemas públicos relevantes,"['IEP', 'INOVA', 'INOVA']",INOVA,3
22,Implementa programa e medidas de proteção de dados em poder do MPRJ,['CSI'],INOVA,1
23,Interage com atores externos para implementação de mudanças,"['CENPE', 'CENPE']",INOVA,2
24,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa,['IEP'],INOVA,1
25,Oferece consultoria técnica,"['CSI', 'INOVA']",INOVA,2
26,Oferece o apoio pedagógico e logístico às ações treinamento,['IEP'],INOVA,1
27,Planejamento estratégico,['GATE'],INOVA,1
28,Potencializa o impacto social do MPRJ,"['CADG', 'CENPE', 'CSI', 'IEP', 'CENPE', 'INOVA', 'INOVA']",INOVA,7
29,Produz conhecimento com análise crítica,"['CADG', 'CENPE', 'IEP', 'CENPE']",INOVA,4
30,Promove a atuação sistêmica do MPRJ,"['CADG', 'CENPE', 'GATE', 'CSI', 'IEP', 'CENPE', 'INOVA']",INOVA,7
31,Promove e fomenta análises interdisciplinares,"['CSI', 'CSI', 'IEP', 'INOVA']",INOVA,4
32,Promove e organiza a gestão do conhecimento técnico do MPRJ,['IEP'],INOVA,1
33,Prospecta no Brasil e no mundo tendências e iniciativas de inovação,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'CENPE', 'CENPE', 'INOVA', 'INOVA']",INOVA,16
34,Realiza revisões de literatura e de iniciativas de políticas públicas,"['IEP', 'INOVA']",INOVA,2
